Player,Position,MLB_Team,Pct_Owned,Total_Points,Projected_Points,Injury_Status,HR,RBI,R,SB,AVG,W,ERA,WHIP,K,SV
Kody Clemens,1B,Min,0.39,12.0,151.0,ACTIVE,2.0,3.0,3.0,4.0,0.15151515,0.0,0.0,0.0,0.0,0.0
Carlos Santana,1B,Ari,0.35,-5.0,196.0,TEN_DAY_DL,0.0,0.0,1.0,0.0,0.08333333,0.0,0.0,0.0,0.0,0.0
Romy Gonzalez,1B,Bos,0.26,0.0,133.0,SIXTY_DAY_DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deyvison De Los Santos,1B,Mia,0.26,0.0,26.0,ACTIVE,0.0,0.0,0.0,0.0,0.28571429,0.0,0.0,0.0,0.0,0.0
Nathaniel Lowe,1B,Cin,0.25,11.0,96.0,ACTIVE,0.0,5.0,0.0,0.0,0.21052632,0.0,0.0,0.0,0.0,0.0
Otto Kemp,3B,Phi,0.24,-5.0,103.0,ACTIVE,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
CJ Kayfus,RF,Cle,0.23,8.0,103.0,ACTIVE,1.0,2.0,4.0,0.0,0.18181818,0.0,0.0,0.0,0.0,0.0
Ezequiel Duran,SS,Tex,0.22,23.0,99.0,ACTIVE,1.0,6.0,6.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0
Pavin Smith,DH,Ari,0.21,3.0,186.0,SIXTY_DAY_DL,0.0,1.0,1.0,0.0,0.16666667,0.0,0.0,0.0,0.0,0.0
Ralphy Velazquez,1B,Cle,0.18,0.0,29.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Clifford,1B,NYM,0.17,0.0,24.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ty France,1B,SD,0.16,13.0,53.0,ACTIVE,1.0,1.0,4.0,0.0,0.27272727,0.0,0.0,0.0,0.0,0.0
Tim Tawa,CF,Ari,0.16,3.0,89.0,ACTIVE,0.0,1.0,1.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0
Christian Encarnacion-Strand,1B,Bal,0.13,0.0,92.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Collier,1B,Cin,0.11,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blaze Jordan,1B,StL,0.1,0.0,0.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeimer Candelario,3B,LAA,0.08,-3.0,17.0,ACTIVE,0.0,0.0,3.0,0.0,0.11111111,0.0,0.0,0.0,0.0,0.0
Tyler Black,LF,Mil,0.08,0.0,51.0,DAY_TO_DAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Wagaman,1B,Min,0.07,0.0,114.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abimelec Ortiz,1B,Wsh,0.07,0.0,25.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andres Chaparro,1B,Wsh,0.06,3.0,132.0,ACTIVE,0.0,0.0,1.0,0.0,0.33333333,0.0,0.0,0.0,0.0,0.0
LaMonte Wade Jr.,1B,ChW,0.06,0.0,37.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Locklear,1B,Ari,0.06,0.0,73.0,TEN_DAY_DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy Cook,CF,Pit,0.05,2.0,19.0,ACTIVE,0.0,0.0,2.0,0.0,0.33333333,0.0,0.0,0.0,0.0,0.0
Rowdy Tellez,1B,FA,0.05,0.0,139.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilmer Flores,DH,FA,0.05,0.0,23.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
